id,judul,penulis,penerbit,tahunTerbit,stok,kategori_id
1072,"The Marble Faun, Or The Romance of Monte Beni",Nathaniel Hawthorne,Unknown,1895,10,27
1073,The Romance of Berrimeed Mill,H. Escott-Inman,Unknown,1897,10,27
1074,"The Redland Papers; Or, Trials of a Loving Heart. A Romance",Unknown,Unknown,1869,10,27
1075,The romance of the English stage,Percy Hetherington Fitzgerald,Unknown,1874,10,27
1076,Young Adult: Benci yang Kautanam (The Hate U Give),Angie Thomas,Gramedia Pustaka Utama,2018,10,28
1077,Latino/a Children's and Young Adult Writers on the Art of Storytelling,Frederick Luis Aldama,University of Pittsburgh Press,2018,10,28
1078,Models and Methods for Youth and Young Adult Ministry,Arthur David Canales,Wipf and Stock Publishers,2018,10,28
1079,Young Adult Development at the School-to-Work Transition,"E. Anne Marshall, Jennifer E. Symonds",Oxford University Press,2021,10,28
1080,"COVID-19, the Great Recession and Young Adult Identity Development",Bronwyn Nichols Lodato,Taylor & Francis,2024,10,28
1081,Adolescent and Young Adult Addiction,Unknown,Jon Daily,2012,10,28
1082,Integrating Young Adult Literature through the Common Core Standards,"Rachel L. Wadham, Jon W. Ostenson",Bloomsbury Publishing USA,2013,10,28
1083,"Transitional Age Youth and Mental Illness: Influences on Young Adult Outcomes, An Issue of Child and Adolescent Psychiatric Clinics of North America, E-Book","Adele L. Martel, D. Catherine Fuchs",Elsevier Health Sciences,2017,10,28
1084,Cancer in Adolescents and Young Adults,"Archie W. Bleyer, Ronald Duncan Barr",Springer Science & Business Media,2007,10,28
1085,Young Adult Literature,Michael Cart,American Library Association,2016,10,28
1086,Young Adult Literature in Action,Rose Brock,Bloomsbury Publishing USA,2019,10,28
1087,Writing Young Adult Fiction For Dummies,Deborah Halverson,John Wiley & Sons,2011,10,28
1088,Developing Library Collections for Today's Young Adults,Amy S. Pattee,Scarecrow Press,2013,10,28
1089,Services and Resources for Children and Young Adults in Public Libraries,Unknown,Unknown,1995,10,28
1090,PEERS® for Young Adults,Elizabeth Laugeson,Taylor & Francis,2017,10,28
1092,Young Adult Offenders,"Friedrich Lösel, Anthony Bottoms, David P. Farrington",Routledge,2012,10,28
1094,Teaching Young Adult Literature,"Mike Cadden, Karen Coats, Roberta Seelinger Trites",Modern Language Association,2020,10,28
1095,Nursing Adolescents and Young Adults with Cancer,"Pia Riis Olsen, Sam Smith",Springer,2018,10,28
1097,Library of Congress Subject Headings: P-Z,Library of Congress. Subject Cataloging Division,Unknown,1989,10,28
1099,Young Adults with Serious Mental Illness,Cornelia M. Ashby,DIANE Publishing,2009,10,28
1100,Dimensions of Human Behavior,Elizabeth D. Hutchison,SAGE,2008,10,28
1101,Young Adult Resources Today,"Don Latham, Melissa Gross",Rowman & Littlefield,2014,10,28
1102,Teen Spaces,"Kimberly Bolan Taney, Kimberly Bolan",American Library Association,2003,10,28
1103,Handbook of Death and Dying,Clifton D. Bryant,SAGE,2003,10,28
1104,A Kerma Ancien Cemetery in the Northern Dongola Reach,Derek A. Welsby,Archaeopress Publishing Ltd,2018,10,28
1105,FRSS (Fast Response Survey Reports).,Unknown,Unknown,1982,10,28
1106,Spirituality in Young Adult Literature,Patty Campbell,Rowman & Littlefield,2015,10,28
1107,"The Functions and disorders of the reproductive organs in childhood, youth, adult age, and advanced life, considered in their physiological, social, and moral relations",William Acton,Unknown,1883,10,28
1108,Condition of Education 2009,"Michael Planty, William J. Hussar, Thomas D. Snyder",Government Printing Office,2009,10,28
1109,Collection # 6,Unknown,Australian Script Centre,2006,10,28
1110,The Critical Merits of Young Adult Literature,Crag Hill,Routledge,2014,10,28
1111,Handbook of Quality of Life in Cancer,Angelos P. Kassianos,Springer Nature,2022,10,28
1112,Speak the Speech!,"Rhona Silverbush, Sami Plotkin","Farrar, Straus and Giroux",2002,10,28
1113,Mental Illness in Young Adult Literature,Kia Jane Richmond,Bloomsbury Publishing USA,2018,10,28
1114,"Health, United States",Unknown,Unknown,2008,10,28
1115,Queer Anxieties of Young Adult Literature and Culture,Derritt Mason,Univ. Press of Mississippi,2020,10,28
1116,Dark Matter,Blake Crouch,Noura Publishing,2017,10,29
1117,Frankenstein,Mary W. Shelley,Anak Hebat Indonesia,2024,10,29
1118,Science-fiction,"Everett Franklin Bleiler, Richard Bleiler",Kent State University Press,1998,10,29
1119,Modern Science Fiction: A Critical Analysis,"James Gunn, Michael R. Page",McFarland,2018,10,29
1122,Twenty Thousand Leagues Under The Sea,Jules Verne,Elex Media Komputindo,2018,10,29
1123,Ethical Futures and Global Science Fiction,"Zachary Kendal, Aisling Smith, Giulia Champion, Andrew Milner",Springer Nature,2020,10,29
1124,From Science Fiction to Science Facts,C. B. Don,Unknown,2005,10,29
1125,Science Fact and Science Fiction,Brian Stableford,Routledge,2006,10,29
1126,Women Scientists in Fifties Science Fiction Films,Bonnie Noonan,McFarland,2015,10,29
1127,The Subject of Race in American Science Fiction,Sharon DeGraw,Routledge,2006,10,29
1128,Hugo Gernsback and the Century of Science Fiction,Gary Westfahl,McFarland,2007,10,29
1129,"Political Theory, Science Fiction, and Utopian Literature",Tony Burns,Lexington Books,2010,10,29
1130,"The Rise and Fall of American Science Fiction, from the 1920s to the 1960s",Gary Westfahl,McFarland,2019,10,29
1131,The Span of Mainstream and Science Fiction,Peter Brigg,McFarland,2015,10,29
1132,Cents of Wonder - Science Fiction's First Award Winners,"Steve Davidson, Kermit Woodall","The Experimenter Publishing Company, LLC",0,10,29
1133,PEMBUNUHAN ATAS ROGER ACKROYD (THE MURDER OF ROGER ACKROYD),AGATHA CHRISTIE,Gramedia Pustaka Utama,2017,10,29
1134,Pseudoscience and Science Fiction,Andrew May,Springer,2016,10,29
1135,The Martian - Si Penghuni Mars,Andy Weir,Gramedia Pustaka Utama,2016,10,29
1136,The Science Fiction Handbook,"Nick Hubble, Aris Mousoutzanis",A&C Black,2013,10,29
1139,Ready player one,Ernest Cline,Gramedia Pustaka Utama,2018,10,29
1141,Reload,"Mary Flanagan, Austin Booth",MIT Press,2002,10,29
1142,A Reference Guide for English Studies,Michael J. Marcuse,Univ of California Press,1990,10,29
1143,Classic Science Fiction Stories,Adam Roberts,Collector's Library,2022,10,29
1144,The Science of Science Fiction Writing,James Gunn,Scarecrow Press,2000,10,29
1145,The Role of Science Fiction,"Stefan Weihampel, Stefan Weisshampel",Diplomica Verlag,2008,10,29
1146,Only Human,Mukhlis Nur,Bentang Komik,2015,10,29
1147,Targeting Media,Annemarie Lopez,Blake Education,2000,10,29
1148,Encyclopedia of the Novel,Paul Schellinger,Routledge,2014,10,29
1149,Beginning Database Design,Gavin Powell,John Wiley & Sons,2006,10,29
1150,10 Science Fiction Greats Box Set,"Donald Swan, E.J. Deen, Cassandra Ormand",Bad Rabbit Publications,0,10,29
1151,Science Fiction Authors,Maura Heaphy,Bloomsbury Publishing USA,2008,10,29
1153,Handbook of French Popular Culture,Pierre L. Horn,Bloomsbury Publishing USA,1991,10,29
1154,Science Fiction - The Evolutionary Mythology of the Future,Thomas Lombardo,John Hunt Publishing,2018,10,29
1155,The Latinx Files,Matthew David Goodwin,Rutgers University Press,2021,10,29
1156,Fantasy Fiction,Frances Sinclair,School Library Association,2008,10,30
1157,Canadian Science Fiction and Fantasy,David Ketterer,Indiana University Press,1992,10,30
1158,Fantasy Football Tips,Sam Hendricks,Sam Hendricks,2009,10,30
1159,Fantasy,Richard Mathews,Routledge,2016,10,30
1160,Final Fantasy Ultimania Archive Volume 2,Square Enix,Dark Horse Comics,2018,10,30
1161,Fantasy/Animation,"Christopher Holliday, Alexander Sergeant",Routledge,2018,10,30
1162,Fantasy Literature,Mark A. Fabrizi,Springer,2016,10,30
1163,Rhetorics of Fantasy,Farah Mendlesohn,Wesleyan University Press,2008,10,30
1164,Teaching Fantasy Writing,Carl Anderson,Corwin Press,2024,10,30
1165,The Fantasy Sport Industry,"Andrew Billings, Brody Ruihley",Routledge,2013,10,30
1166,Victorian Fantasy,Stephen Prickett,Baylor University Press,2005,10,30
1167,The Fantasy Literature of England,Colin N. Manlove,Wipf and Stock Publishers,2020,10,30
1168,FF DOT: The Pixel Art of Final Fantasy,Square Enix,Dark Horse Comics,2020,10,30
1169,Fantasy Football's Big Six,Robert Zarzycki,AuthorHouse,2008,10,30
1170,Final Fantasy Tactics Series,Unknown,PediaPress,0,10,30
1171,The Ethical Fantasy of Rhetorical Theory,Ira Allen,University of Pittsburgh Press,2018,10,30
1172,Gender and Sexuality in Contemporary Popular Fantasy,"Jude Roberts, Esther MacCallum-Stewart",Routledge,2016,10,30
1174,Fantasy and Social Movements,J. Ormrod,Springer,2014,10,30
1175,Translation and Fantasy Literature in Taiwan,Y. Chung,Springer,2013,10,30
1176,Race and Popular Fantasy Literature,Helen Young,Routledge,2015,10,30
1177,"Intelligence, Creativity and Fantasy","Mário Ming Kong, Maria do Rosário Monteiro, Maria João Pereira Neto",CRC Press,2019,10,30
1179,The Cambridge Companion to Fantasy Literature,"Edward James, Farah Mendlesohn",Cambridge University Press,2012,10,30
1180,Historical Dictionary of Fantasy Literature,Allen Stroud,Rowman & Littlefield,2023,10,30
1181,The Ultimate Encyclopedia of Fantasy,"David Pringle, Tim Dedpulos",Hachette UK,2021,10,30
1182,Imagination from Fantasy to Delusion,Lois Oppenheim,Routledge,2013,10,30
1183,The Year's Best Dark Fantasy & Horror,Paula Guran,Pyr,2024,10,30
1184,The Hour of Magic (Geronimo Stilton and the Kingdom of Fantasy #8),Geronimo Stilton,Scholastic Inc.,2016,10,30
1185,Focus On: 100 Most Popular 2010s Fantasy Films,Wikipedia contributors,e-artnow sro,0,10,30
1186,Life with an Ordinary Guy Who Reincarnated into a Total Fantasy Knockout Vol. 4,"Yu Tsurusaki, Shin Ikezawa",Seven Seas Entertainment,2024,10,30
1187,Fantasy Football and Mathematics,Dan Flockhart,John Wiley & Sons,2007,10,30
1188,A Midnight Fantasy,Thomas Bailey Aldrich,Unknown,1877,10,30
1189,Tales of Fantasy and Fact,Brander Matthews,Unknown,1896,10,30
1190,"A Fantasy of the Fuyck, and Other Conceits of the Colonial Low Dutch",Michael Monahan,Unknown,1892,10,30
1191,Interface Fantasy,Andre Nusselder,MIT Press,2009,10,30
1192,Fate - The Books of Fantasy,Andarani Putri,KPDF Publisher,0,10,30
1193,My Fantasy Story, Adila Bilqys,SPASI MEDIA,0,10,30
1194,Rahasia Terpenting - The Books of Fantasy,Rainnice,KPDF Publisher,0,10,30
1195,Awaken - The Books of Fantasy,Dafodilia,KPDF Publisher,0,10,30
5935,A Stanislaw Lem Reader,"Stanisław Lem, Peter Swirski",Northwestern University Press,1997,10,29
1791,Encyclopedia of Applied Psychology,Charles Spielberger,Academic Press,2004,10,16
1796,Psychological Principles and the Black Experience,Lawrence N. Houston,University Press of America,1990,10,16
1798,The Oxford Handbook of Social Psychology and Social Justice,Phillip L. Hammack,Oxford University Press,2018,10,16
1799,"The Human Intellect, with an Introduction Upon Psychology and the Soul",Noah Porter (the Younger.),Unknown,1872,10,16
1801,Principles of Psychology,"Matt Jarvis, Paul Okami",Unknown,2020,10,16
1802,Philosophical Perspectives on Qualitative Psychological and Social Science Research,"Paul M. W. Hackett, Gillie Gabay, Christopher Hayre",Frontiers Media SA,2023,10,16
1803,The Psychologist's Guide to Professional Development,"Greg Bohall, Mary-Jo Bautista",Springer,2017,10,16
1807,CONTEXTUALISING ISLAM IN PSYCHOLOGICAL RESEARCH (IIUM PRESS),"Mariam Adawiyah Dzulkifli, Nor Diana Mohd Mahudin",IIUM PRESS,2021,10,16
1808,Psychological Testing,"George Domino, Marla L. Domino",Cambridge University Press,2006,10,16
1809,International Handbook of Cognitive and Behavioural Treatments for Psychological Disorders,V.E. Caballo,Elsevier,1998,10,16
1811,Psychological Assessment in the Workplace,"Mark Cook, Barry Cripps",John Wiley & Sons,2005,10,16
1812,Social and Psychological Bases of Ideology and System Justification,"John T. Jost, Aaron C. Kay, Hulda Thorisdottir",Oxford University Press,2009,10,16
1814,The Biophysical Foundations of Human Movement,Bruce Abernethy,Human Kinetics,2005,10,16
1815,Psychological and Transcendental Phenomenology and the Confrontation with Heidegger (1927–1931),Edmund Husserl,Springer Science & Business Media,1997,10,16
1819,Index of NLM Serial Titles,National Library of Medicine (U.S.),Unknown,1979,10,16
1821,Research in the Social Scientific Study of Religion,"Ralph L. Piedmont, Andrew Village",BRILL,2009,10,16
1822,Permuted Medical Subject Headings,Unknown,Unknown,1978,10,16
1823,Addressing Gaps and Advancing Scholarship in the Study of Psychological Contracts,"Sarah Bankins, Yannick Griep, Samantha D. Hansen",Taylor & Francis,2024,10,16
1824,Current Catalog,National Library of Medicine (U.S.),Unknown,0,10,16
1827,"Comprehensive Handbook of Psychological Assessment, Volume 3","Stephen N. Haynes, Elaine M. Heiby",John Wiley & Sons,2003,10,16
1828,Health Psychology,George C. Stone,University of Chicago Press,1987,10,16
1829,List of Journals Indexed for MEDLINE,Unknown,Unknown,2005,10,16
1950,"Science and Pseudoscience in Clinical Psychology, First Edition","Scott O. Lilienfeld, Steven Jay Lynn, Jeffrey M. Lohr",Guilford Press,2012,10,19
2389,The Economics of Fantasy,Sharon Stockton,Ohio State University Press,2006,10,30
2425,"Annual Report of the Pennsylvania Museum of Art, with the List of Members",Philadelphia Museum of Art,Unknown,1882,10,1
2426,Technical Art Series of Illustrations of Eastern Metal Work & Carving for the Use of Art Schools and Craftsmen,Unknown,Unknown,1892,10,1
2427,"Catalogue of the Collection of ... Specimens of Oriental Art formed by H.R.H. the Duke of Edinburgh ... Also, the collection of ... objects of art and vertu, at Clarence House, St. James's",Unknown,Unknown,1875,10,1
2428,English Mechanic and Mirror of Science and Art,Unknown,Unknown,1893,10,1
2430,The Vulgarization of Art,Linda C. Dowling,University of Virginia Press,1996,10,1
2540,IHYA ULUMIDDIN 1,Imam Al-Ghazali,Republika Penerbit,2018,10,4
2625,The Chicago Herald Cooking School,Jessup Whitehead,Unknown,1883,10,6
2626,Cooking Lessons,Sherrie A. Inness,Rowman & Littlefield,2001,10,6
2934,History of Philosophy,Julian Marias,Courier Dover Publications,1967,10,14
3017,Career Opportunities in Law and the Legal Industry,Susan Echaore -McDavid,Infobase Publishing,2010,10,16
3019,Child Psychology,"Ram Nath Sharma, Rachana Sharma",Atlantic Publishers & Dist,2006,10,16
3023,Ebook: A Feminist Companion to Conceptual and Historical Issues in Psych ology,"Katherine Hubbard, Peter Hegarty",McGraw-Hill Education (UK),2024,10,16
3065,"Popular Religion, Liberation, and Contextual Theology","Jacques van Nieuwenhove, Berma Klein Goldewijk",Unknown,1991,10,17
3117,How to Be Confident,Anna Barnes,Elex Media Komputindo,2018,10,19
3118,Hidup Antigalau: Menata Karier dan Masa Depan di Umur 20-an,Juhyung Kim,Gramedia Pustaka Utama,2020,10,19
3186,BTEC First Sport,John Honeybourne,Nelson Thornes,2005,10,21
3207,Sociological Perspectives on Sport,"David Karen, Robert E. Washington",Routledge,2015,10,21
3215,Australian National Bibliography: 1992,National Library of Australia,National Library Australia,1988,10,21
3217,"Adapted Physical Education and Sport, 6E","Winnick, Joseph, Porretta, David",Human Kinetics,2016,10,21
3225,Ski,Unknown,Unknown,1983,10,21
3342,A Woman Scorned,Lisa Pulitzer,Macmillan,1999,10,24
3343,Scream at the Sky,Carlton Stowers,St. Martin's Press,2004,10,24
3344,Reclaiming Popular Documentary,"Christie Milliken, Steve F. Anderson",Indiana University Press,2021,10,24
3345,Romancing the Tomes,Margaret Thornton,Routledge,2013,10,24
3539,The 100-Year-Old Man Who Climbed Out of the Window and Disappeared (Indonesian Edition),Jonas Jonasson,Bentang Pustaka,2015,10,29
6503,Republik,Plato,BASABASI,0,10,14
6768,Spirituality in Nursing,Mary Elizabeth O'Brien,Jones & Bartlett Publishers,2014,10,20
8674,Applied Psychology,"Rowan Bayne, Ian Horton",SAGE,2003,10,16
10019,Spiritual Care in Practice,"George Fitchett, Steve Nolan",Jessica Kingsley Publishers,2015,10,20
10029,World Christianity,Graham Joseph Hill,Wipf and Stock Publishers,2024,10,20
10031,Changing Cultures of Ageing and Spirituality,"Elizabeth MacKinlay, Ann Harrington",Taylor & Francis,2023,10,20
10158,The Routledge History of Crime in America,"James Campbell, Vivien Miller",Taylor & Francis,2024,10,24
10176,"London's Criminal Underworlds, c. 1720 - c. 1930",Heather Shore,Springer,2015,10,24
10186,Thinking Like Your Editor: How to Write Great Serious Nonfiction and Get It Published,"Susan Rabiner, Alfred Fortunato",W. W. Norton & Company,2010,10,24
10187,Life of the Party,Olivia Gatwood,Random House,2019,10,24
10188,Black Widow,Marion Collins,Macmillan,2007,10,24
10189,Edgar G. Ulmer,Gary D. Rhodes,Rowman & Littlefield,2009,10,24
10190,Death in Old Mexico,Nicole von Germeten,Cambridge University Press,2023,10,24
10191,ReelViews,James Berardinelli,"Justin, Charles & Co.",2003,10,24
10292,The Gothic Romance Wave,Lori A. Paige,McFarland,2018,10,27
10295,Manual of Deixis in Romance Languages,"Konstanze Jungbluth, Federica Da Milano",Walter de Gruyter GmbH & Co KG,2015,10,27
10311,"Sister Martha, Or, A Romance of the Franco-Prussian War",Benjamin Wilson (Curate of Fordham.),Unknown,1871,10,27
10387,Science Fiction and the Theatre,Ralph Willingham,Praeger,1994,10,29
10390,Tercerabut (Uprooted),Naomi Novik,Gramedia Pustaka Utama,2020,10,29
