id,judul,penulis,penerbit,tahunTerbit,stok,kategori_id
849,Low Technology High Fidelity (LTHF) dalam Simulasi Kebidanan,"Dwi Izzati, S.Keb., Bd., M.Sc., Astika Gita Ningrum, M.Keb.",Airlangga University Press,2022,10,22
850,BUKU AJAR FINANCIAL TECHNOLOGY LAW,"Dr. Lukmanul Hakim., S.H., M.H., Recca Ayu Hapsari., S.H., M.H.",Penerbit Adab,0,10,22
851,Smart Parenting & Relationships Technology,Setiyo Widodo,Elex Media Komputindo,2013,10,22
852,Sistem Informasi Keuangan Sekolah Melalui Pendekatan Technology Acceptance Model (TAM),"Titi Sugiarti, S.E. M. Ak",Penerbit Adab,0,10,22
853,A Distant Technology,J. P. Telotte,Wesleyan University Press,1999,10,22
854,Textiles Technology,"Barbara Lawler, Helen Wilson",Heinemann,2002,10,22
855,Directory of Federal Laboratory and Technology Resources,Unknown,DIANE Publishing,1994,10,22
856,Digital Technology Management : Mengelola Daya Saing melalui Teknologi Digital,"Yoesoep Edhie Rachmad, Novi Indrayani, Budi Harto, Loso Judijanto, Arief Yanto Rukmana, Nur Fitri Rahmawati, Nur Ambulani, Saktisyahputra Saktisyahputra",PT. Sonpedia Publishing Indonesia,2024,10,22
857,Drafting Technology Patent License Agreements,Michael J. Lennon,Wolters Kluwer,2007,10,22
858,"Science, Technology and Governance",John De la Mothe,Psychology Press,2001,10,22
860,Digital Entrepreneurship: Digital Technology For Sustainable Entrepreneurship,"Yudha Aditya Fiandra, Ganefri, Asmar Yulastri",CV Berkah Prima,0,10,22
861,Current Trends in Data Management Technology,"Asuman Dogac, M. Tamer Özsu, Ozgur Ulusoy",IGI Global,1999,10,22
862,ICT4D Information Communication Technology for Development,"Parveen Pannu, Yuki Azaad Tomar",I. K. International Pvt Ltd,2010,10,22
863,The Meaning of Technology. Selected Readings from American Sources,Montserrat Ginés Gibert,Univ. Politèc. de Catalunya,2010,10,22
864,Educational Innovations Beyond Technology,"Nancy Law, Allan Yuen, Robert Fox",Springer Science & Business Media,2011,10,22
865,A Philosophy of Technology,Pieter E. Vermaas,Morgan & Claypool Publishers,2011,10,22
866,Measurement and Statistics on Science and Technology,Benoit Godin,Psychology Press,2005,10,22
867,National Science and Technology Strategies in a Global Context,"Institute of Medicine, National Academy of Engineering, National Academy of Sciences, Government-University-Industry Research Roundtable",National Academies Press,1998,10,22
868,Science and Technology Ethics,Raymond Spier,Psychology Press,2002,10,22
869,Fuel Cell Technology,Nigel Sammes,Springer Science & Business Media,2006,10,22
870,Proceedings of the 2nd National Conference on Emerging Trends in Information Technology (eIT-2007),"Amol C. Goje, Pravin L. Yannawar",I. K. International Pvt Ltd,2013,10,22
871,Manual of Chemical Technology,Johannes Rudolf Wagner,Unknown,1895,10,22
872,5th International Conference On Digital Enterprise Technology -,Unknown,Editions Publibook,0,10,22
873,"Science and Technology of Building Seals, Sealants, Glazing, and Waterproofing",Jerome M. Klosowski,ASTM International,1998,10,22
874,The technology of bacteria investigation; explicit directions for the,Charles Sumner Dolley,Unknown,1885,10,22
875,"Chemical Technology, Or, Chemistry in Its Applications to Arts and Manufactures: Fuel and its applications","Charles Edward Groves, William Thorp, William Joseph Dibdin",Unknown,1889,10,22
876,The Naked Traveler Anthology,TrinityTraveler,Bentang B first,2011,10,23
877,Revolusi Gila Bisnis Tour & Travel,Ronny Anggrianto,Elex Media Komputindo,2013,10,23
878,Travel Writing is Fun,Arini T. Soemohadiwidjojo,Rasibook,2017,10,23
879,Tour & Travel Revolution (Edisi Revisi),"HM Ardans Dachlan, S.T.",Gramedia Pustaka Utama,2019,10,23
880,Travel Guide to Tanimbar,"Pidii, Team Penulis Pidii",Center for Indonesia Investment Data Information (PIDII),2018,10,23
881,101 Travel Tips & Stories,Claudia Kaunang,Gramedia Pustaka Utama,2014,10,23
882,Travel Guide to North Kolaka,Pidii,Pidii,2018,10,23
883,Cara Mudah Berbisnis Travel Umrah dan Haji Khusus,Iwan Giwangkara,Elex Media Komputindo,2020,10,23
884,DGI : Travel Resolution,Risa Bluesaphier,eBook Risa Bluesaphier,0,10,23
885,SUKSES JADI TRAVEL BLOGGER !,DEWI RIEKA,Bhuana Ilmu Populer,2020,10,23
886,EKONOMI DAN TRAVEL COST,"Erizal. N., S.E., mm dan Aulia Amanatul Sahespa",CV. AZKA PUSTAKA,2024,10,23
887,Te We (Travel Writer),Gol A Gong,Kepustakaan Populer Gramedia,2013,10,23
888,Travel Guide To Puncak,Pidii,Pidii,2019,10,23
889,TRAVEL GUIDE TO SERAM BAGIAN TIMUR,Pidii,Pidii,2019,10,23
890,Travel Guide to Talaud Islands Regency,Pidii,Pidii,2019,10,23
891,Wonderful Indonesia: Revolusi Tour & Travel Digital,Minghadi Suryajaya,Elex Media Komputindo,2018,10,23
892,Statewide Travel Forecasting Models,"Alan J. Horowitz, National Cooperative Highway Research Program",Transportation Research Board,2006,10,23
893,"Untung Melimpah Ruah dari Bisnis Tour & Travel, Umrah, Serta Paket Wisata Keliling Dunia",Agustina Wulandari,SAUFA,0,10,23
894,TRAVEL GUIDE TO BONE BOLANGO REGENCY,"Pidii, Team Penerbit Pidii",Pidii (Center for Indonesian Investment Data Information),2018,10,23
895,Travel Guide to Luwuk Banggai,pidii,Pidii,2021,10,23
896,Travel Guide To Mamberamo Raya,Pidii,Pidii,2019,10,23
897,Travel Guide to Humbang Hasundutan,Pidii,Pidii,2019,10,23
898,Travel Guide To East Aceh,Pidii,Pidii,2019,10,23
899,Top 15 Travel Destinations in Indonesia,Barry Kusuma,Elex Media Komputindo,2016,10,23
900,TEORI DAN PENERAPAN VALUASI EKONOMI DENGAN PENDEKATAN BIAYA PERJALANAN (TRAVEL COST APPROACH) DI PERCANDIAN MUARO JAMBI,"Muhammad Safri, Tarida Diami, Nurhayani",CV. Green Publisher Indonesia,2022,10,23
901,Advanced Practices in Travel Forecasting,Rick Donnelly,Transportation Research Board,2010,10,23
902,Air travel and health,"Great Britain: Parliament: House of Lords: Science and Technology Committee, Lord Broers",The Stationery Office,2007,10,23
903,TRAVEL GUIDE TO BANGKALAN,Pidii,Pidii,2019,10,23
904,Keyes' Hand-book of Northern Pleasure Travel,George L. Keyes,Unknown,1874,10,23
905,Travel and Big Game,"Percy Selous, Henry Anderson Bryden",Unknown,1897,10,23
906,Newspaper Libels and Reprinted Notes of Travel,Theodore Williams Noyes,Unknown,1894,10,23
907,"Outing; Sport, Adventure, Travel, Fiction",Unknown,Unknown,1885,10,23
908,The Naked Traveler 1 Year Round-The-World Trip (Part 2) (Republish),TRINITY,Bentang B first,2020,10,23
909,Travel Guide To Majene,Pidii,Pidii,2019,10,23
910,Travel,Unknown,Unknown,1920,10,23
911,Transportation Forecasting and Travel Behavior,National Research Council (U.S.). Transportation Research Board,Transportation Research Board Commission,1978,10,23
912,Applying GPS Data to Understand Travel Behavior,"Jean Louise Wolf, William H. Bachman, Marcelo Simas Oliveira, Joshua A. Auld, Abolfazl Mohammadian, Petr Samuilovich Vovsha",Unknown,2014,10,23
913,Travel Guidelines for Secretary of State Employees,Illinois. Travel Control Board,Unknown,1995,10,23
914,Travel and Exploration,"Samuel Carter Gilmour, Eustace Alfred Reynolds-Ball",Unknown,1909,10,23
915,Passenger Travel Forecasting,National Research Council (U.S.). Transportation Research Board,Unknown,1979,10,23
916,In Cold Blood,Truman Capote,Bentang Pustaka,2007,10,24
917,True Crime and Women,"Lili Pâquet, Rosemary Williamson",Taylor & Francis,2024,10,24
918,Crime,Anne Boran,University of Chester,2002,10,24
919,Lolita,Vladimir Vladimirovich Nabokov,Penerbit Serambi,2008,10,24
920,Serial Killers and Serial Spectators,Unknown,BRILL,2024,10,24
921,The Professor and The Madman,Unknown,Penerbit Serambi,1999,10,24
